display_title,docdt,url,pdfurl
Kenya - Education Project : Credit 0093  - Credit Agreement - Conformed,1966-08-19T04:00:00Z,http://documents.worldbank.org/curated/en/222391468254339858,http://documents.worldbank.org/curated/en/222391468254339858/pdf/Credit-0093-Kenya-Education-Project-Credit-Agreement.pdf
Kenya - Education Project,1966-07-31T04:00:00Z,http://documents.worldbank.org/curated/en/157361468047348649,http://documents.worldbank.org/curated/en/157361468047348649/pdf/multi0page.pdf
,,,
"Announcement of UNDP Transport Study in Kenya, Tanzania and Uganda on December 11, l967",1967-12-11T05:00:00Z,http://documents.worldbank.org/curated/en/099817509262216477,http://documents.worldbank.org/curated/en/099817509262216477/pdf/IDU08c862dd50b56204ec409c100480b4b1fb57d.pdf
The World Bank Group in Kenya,1967-06-01T04:00:00Z,http://documents.worldbank.org/curated/en/587231482830130038,http://documents.worldbank.org/curated/en/587231482830130038/pdf/109699-WP-Box396323B-The-World-Bank-Group-In-Kenya-06-1967.pdf
"Bolivia, Ceylon, Colombia, Iran, Islamic Republic of, Kenya, Korea, Republic of, Morocco, Peru, Tunisia, Zambia - External public debt : estimated service and principal amounts",1967-05-31T04:00:00Z,http://documents.worldbank.org/curated/en/534271468199730894,http://documents.worldbank.org/curated/en/534271468199730894/pdf/EC1540SR0Box360nd0Principal0Amounts.pdf
Kenya - Agricultural Roads Project : Credit 0104  - Credit Agreement - Conformed,1967-05-11T04:00:00Z,http://documents.worldbank.org/curated/en/227121468050070271,http://documents.worldbank.org/curated/en/227121468050070271/pdf/Credit-0104-Kenya-Agricultural-Roads-Project-Credit-Agreement.pdf
Kenya - Agricultural Credit Project : Credit 0105  - Credit Agreement - Conformed,1967-05-11T04:00:00Z,http://documents.worldbank.org/curated/en/200621468042831008,http://documents.worldbank.org/curated/en/200621468042831008/pdf/Credit-0105-Kenya-Agricultural-Credit-Project-Credit-Agreement.pdf
Kenya - Agricultural Credit Project : Credit 0105  - Project Agreement - Conformed,1967-05-11T04:00:00Z,http://documents.worldbank.org/curated/en/610261468040443708,http://documents.worldbank.org/curated/en/610261468040443708/pdf/Credit-0105-Kenya-Agricultural-Credit-Project-Project-Agreement.pdf
"Announcement of Credits Totaling Eight Million Nine Hundred Thousand Dollars to Kenya on May 10, 1967",1967-05-10T04:00:00Z,http://documents.worldbank.org/curated/en/672041602099833083,http://documents.worldbank.org/curated/en/672041602099833083/pdf/Announcement-of-Credits-Totaling-Eight-Million-Nine-Hundred-Thousand-Dollars-to-Kenya-on-May-10-1967.pdf
Kenya - Smallholder Agricultural Credit Project,1967-04-30T05:00:00Z,http://documents.worldbank.org/curated/en/910521468046825804,http://documents.worldbank.org/curated/en/910521468046825804/pdf/multi0page.pdf
Kenya - Roads Project,1967-04-30T05:00:00Z,http://documents.worldbank.org/curated/en/364751468040735220,http://documents.worldbank.org/curated/en/364751468040735220/pdf/multi-page.pdf
Kenya - Roads Project,1967-04-30T05:00:00Z,http://documents.worldbank.org/curated/en/924441468048320626,http://documents.worldbank.org/curated/en/924441468048320626/pdf/multi0page.pdf
,,,
Kenya - Smallholder Agricultural Credit Project,1967-04-30T05:00:00Z,http://documents.worldbank.org/curated/en/789431468272713668,http://documents.worldbank.org/curated/en/789431468272713668/pdf/multi-page.pdf
Kenya - Recent economic developments,1967-04-30T05:00:00Z,http://documents.worldbank.org/curated/en/746221468091472144,http://documents.worldbank.org/curated/en/746221468091472144/pdf/multi0page.pdf
"Announcement of Telecommunications Loan in East Africa on February 20, 1967
",1967-02-19T05:00:00Z,http://documents.worldbank.org/curated/en/099122405102242214,http://documents.worldbank.org/curated/en/099122405102242214/pdf/IDU0f69dc27b0a309040600a00e023f3128edb39.pdf
,,,
"Announcement of IDA and Sweden Lend Seven Million Two Hundred Thousand Dollars to Kenya on September 26, 1968",1968-09-26T04:00:00Z,http://documents.worldbank.org/curated/en/296311604090009546,http://documents.worldbank.org/curated/en/296311604090009546/pdf/Announcement-of-IDA-and-Sweden-Lend-Seven-Million-Two-Hundred-Thousand-Dollars-to-Kenya-on-September-26-1968.pdf
Kenya - Livestock Development Project,1968-08-31T04:00:00Z,http://documents.worldbank.org/curated/en/970171468277158233,http://documents.worldbank.org/curated/en/970171468277158233/pdf/multi0page.pdf
Kenya - Livestock Development Project,1968-08-31T04:00:00Z,http://documents.worldbank.org/curated/en/351791468272743678,http://documents.worldbank.org/curated/en/351791468272743678/pdf/multi0page.pdf
Kenya - Livestock Development Project - Credit Agreement : Credit 0129  - 2 - Conformed,1968-08-13T04:00:00Z,http://documents.worldbank.org/curated/en/807831468254340178,http://documents.worldbank.org/curated/en/807831468254340178/pdf/Credit-0129-Kenya-Livestock-Development-Project-Credit-Agreement-2.pdf
Uganda - Phosphate Engineering Project : Credit 1228 - Credit Agreement - Conformed,1968-08-13T04:00:00Z,http://documents.worldbank.org/curated/en/983791468284677142,http://documents.worldbank.org/curated/en/983791468284677142/pdf/Credit-1228-Uganda-Phosphate-Engineering-Project-Credit-Agreement.pdf
Kenya - Livestock Development Project : Credit 0129 - Administration Letter - Conformed,1968-08-13T04:00:00Z,http://documents.worldbank.org/curated/en/266161468272700439,http://documents.worldbank.org/curated/en/266161468272700439/pdf/Credit-0129-Kenya-Livestock-Development-Project-Other.pdf
Kenya - Livestock Development Project : Credit 0129  - Project Agreement - Conformed,1968-08-13T04:00:00Z,http://documents.worldbank.org/curated/en/644001468042831324,http://documents.worldbank.org/curated/en/644001468042831324/pdf/Credit-0129-Kenya-Livestock-Development-Project-Project-Agreement.pdf
Uganda - Phosphate Engineering Project : Credit 1228 - Project Agreement - Conformed,1968-08-13T04:00:00Z,http://documents.worldbank.org/curated/en/886981468040449759,http://documents.worldbank.org/curated/en/886981468040449759/pdf/Credit-1228-Uganda-Phosphate-Engineering-Project-Project-Agreement.pdf
Kenya - Livestock Development Project - Credit Agreement : Credit 0129  - 1 - Conformed,1968-08-13T04:00:00Z,http://documents.worldbank.org/curated/en/605021468040445472,http://documents.worldbank.org/curated/en/605021468040445472/pdf/Credit-0129-Kenya-Livestock-Development-Project-Credit-Agreement-1.pdf
Kenya - Second Kenya Tea Development Authority Project : Credit 0119  - Credit Agreement - Conformed,1968-06-17T04:00:00Z,http://documents.worldbank.org/curated/en/326071468040444364,http://documents.worldbank.org/curated/en/326071468040444364/pdf/Credit-0119-Kenya-Second-Kenya-Tea-Development-Authority-Project-Credit-Agreement.pdf
,,,
Kenya - Second Highway Project : Credit 0120  - Credit Agreement - Conformed,1968-06-17T04:00:00Z,http://documents.worldbank.org/curated/en/259351468040444990,http://documents.worldbank.org/curated/en/259351468040444990/pdf/Credit-0120-Kenya-Second-Highway-Project-Credit-Agreement.pdf
Kenya - Second Kenya Tea Development Authority Project : Credit 0119  - Project Agreement - Conformed,1968-06-17T04:00:00Z,http://documents.worldbank.org/curated/en/677441468050070509,http://documents.worldbank.org/curated/en/677441468050070509/pdf/Credit-0119-Kenya-Second-Kenya-Tea-Development-Authority-Project-Project-Agreement.pdf
"Announcement of Credits of Twelve Million Eight Hundred Thousand Dollars for Agriculture and Roads in Kenya on June 12, 1968",1968-06-12T04:00:00Z,http://documents.worldbank.org/curated/en/175331603741513371,http://documents.worldbank.org/curated/en/175331603741513371/pdf/Announcement-of-Credits-of-Twelve-Million-Eight-Hundred-Thousand-Dollars-for-Agriculture-and-Roads-in-Kenya-on-June-12-1968.pdf
"Transcript of Joint Meeting of the Executive Directors of the Bank and IDA, held on Tuesday, June 11, 1968 : Kenya - Highway Project",1968-06-11T04:00:00Z,http://documents.worldbank.org/curated/en/987121580882474887,http://documents.worldbank.org/curated/en/987121580882474887/pdf/Transcript-of-Joint-Meeting-of-the-Executive-Directors-of-the-Bank-and-IDA-held-on-Tuesday-June-11-1968-Kenya-Highway-Project.pdf
Kenya - Second Highway Project,1968-05-31T04:00:00Z,http://documents.worldbank.org/curated/en/641601468272957465,http://documents.worldbank.org/curated/en/641601468272957465/pdf/multi0page.pdf
Kenya - Second Kenya Tea Development Authority Project,1968-05-31T04:00:00Z,http://documents.worldbank.org/curated/en/938341468272772019,http://documents.worldbank.org/curated/en/938341468272772019/pdf/multi0page.pdf
Kenya - Second Highway Project,1968-05-31T04:00:00Z,http://documents.worldbank.org/curated/en/679781468047720248,http://documents.worldbank.org/curated/en/679781468047720248/pdf/multi0page.pdf
Kenya - Second Kenya Tea Development Authority Project,1968-05-31T04:00:00Z,http://documents.worldbank.org/curated/en/137601468091479153,http://documents.worldbank.org/curated/en/137601468091479153/pdf/multi0page.pdf
,,,
Kenya - Cost-benefit analysis in education : a case study on Kenya,1969-11-01T05:00:00Z,http://documents.worldbank.org/curated/en/706621468272736617,http://documents.worldbank.org/curated/en/706621468272736617/pdf/EC1730SR0Box360ucation0A0Case0Study.pdf
Kenya - Forest Plantations Project,1969-10-31T05:00:00Z,http://documents.worldbank.org/curated/en/213361468090305135,http://documents.worldbank.org/curated/en/213361468090305135/pdf/multi0page.pdf
Kenya - Forest Plantations Project : Loan 0641 - Loan Agreement - Conformed,1969-10-28T05:00:00Z,http://documents.worldbank.org/curated/en/411321468254336049,http://documents.worldbank.org/curated/en/411321468254336049/pdf/Loan-0641-Kenya-Forest-Plantations-Project-Loan-Agreement.pdf
Ecuador - Seeds Project : Loan 1229 - Loan Agreement - Conformed,1969-10-28T05:00:00Z,http://documents.worldbank.org/curated/en/313221468284680909,http://documents.worldbank.org/curated/en/313221468284680909/pdf/Loan-1229-Ecuador-Seeds-Project-Loan-Agreement.pdf
"Announcement of Two Million Six Hundred Thousand US Dollars Loan to Kenya for Forest Planting Project on October 29, 1969
",1969-10-28T05:00:00Z,http://documents.worldbank.org/curated/en/099000404202218235,http://documents.worldbank.org/curated/en/099000404202218235/pdf/IDU0a9d4fde90fb6904a4109a7d01edd2e3b4ae6.pdf
Kenya - Economic development prospects (Vol. 1 of 2) : Main report ,1969-10-22T04:00:00Z,http://documents.worldbank.org/curated/en/449901468272363139,http://documents.worldbank.org/curated/en/449901468272363139/pdf/multi0page.pdf
Kenya - Economic development prospects (Vol. 2 of 2) : Annexes ,1969-10-22T04:00:00Z,http://documents.worldbank.org/curated/en/996291468273009536,http://documents.worldbank.org/curated/en/996291468273009536/pdf/multi0page.pdf
Kenya - Third Highway Project,1969-09-30T04:00:00Z,http://documents.worldbank.org/curated/en/780101468045024173,http://documents.worldbank.org/curated/en/780101468045024173/pdf/multi0page.pdf
Kenya - Third Highway Project,1969-09-30T04:00:00Z,http://documents.worldbank.org/curated/en/141891468278097567,http://documents.worldbank.org/curated/en/141891468278097567/pdf/multi0page.pdf
Ecuador - Fourth Highways Project : Loan 1231 - Loan Agreement - Conformed,1969-09-23T04:00:00Z,http://documents.worldbank.org/curated/en/748161468284681355,http://documents.worldbank.org/curated/en/748161468284681355/pdf/Loan-1231-Ecuador-Fourth-Highways-Project-Loan-Agreement.pdf
,,,
Kenya - Third Highway Project : Loan 0639 - Loan Agreement - Conformed,1969-09-23T04:00:00Z,http://documents.worldbank.org/curated/en/259351468043758712,http://documents.worldbank.org/curated/en/259351468043758712/pdf/Loan-0639-Kenya-Third-Highway-Project-Loan-Agreement.pdf
